INSTNM,CITY,STABBR,ZIP,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL
American Institute of Alternative Medicine,Columbus,OH,43229,0.8039,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American International College,Springfield,MA,1109,0.6458,NULL,NULL,NULL,NULL,380,480,NULL,NULL,430,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Musical and Dramatic Academy,New York,NY,10023,0.3077,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American University,Washington,DC,20016-8001,0.3608,620,700,590,690,570,670,660,640,620,27,31,27,34,24,28,8,10,29,31,26,9,1318,1318
American University of Puerto Rico,Manati,PR,00674-1082,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AmeriTech College-Draper,Draper,UT,84020-6545,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AmeriTech College-Provo,Provo,UT,84604,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AMG School of Licensed Practical Nursing,Brooklyn,NY,11201-1728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Amherst College,Amherst,MA,01002-5000,0.1131,650,740,660,780,680,770,695,720,725,30,34,31,35,27,34,NULL,NULL,32,33,31,NULL,1431,1431
Amridge University,Montgomery,AL,36117-3553,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anabaptist Mennonite Biblical Seminary,Elkhart,IN,46517-1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ancilla College,Donaldson,IN,46513-0001,0.719,440,520,420,520,NULL,NULL,480,470,NULL,14,21,11,20,15,21,NULL,NULL,18,16,18,NULL,951,951
Anderson University,Anderson,IN,46012-3495,0.6274,500,580,500,580,NULL,NULL,540,540,NULL,20,25,20,25,18,25,NULL,NULL,23,23,22,NULL,1098,1098
Anderson University,Anderson,SC,29621-4035,0.6873,450,620,410,590,470,590,535,500,530,20,26,20,27,18,25,NULL,NULL,23,24,22,NULL,1087,1087
Andrew College,Cuthbert,GA,39840-5550,0.414,420,510,390,490,NULL,NULL,465,440,NULL,14,19,13,20,14,17,NULL,NULL,17,17,16,NULL,913,913
Andrews University,Berrien Springs,MI,49104,0.6704,550,680,510,680,480,600,615,595,540,21,29,21,31,19,27,6,8,25,26,23,7,1215,1215
Angeles College,Los Angeles,CA,90010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Angeles Institute,ARTESIA,CA,90701-2713,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Angelina College,Lufkin,TX,75902-1768,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Angelo State University,San Angelo,TX,76909,0.7659,470,570,460,550,410,500,520,505,455,17,23,15,23,17,23,NULL,NULL,20,19,20,NULL,1038,1038
Ann Webb Skin Institute,Austin,TX,78759-3936,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anna Maria College,Paxton,MA,01612-1198,0.7405,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anne Arundel Community College,Arnold,MD,21012-1895,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Annenberg School of Nursing,Reseda,CA,91335-5426,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anoka Technical College,Anoka,MN,55303,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anoka-Ramsey Community College,Coon Rapids,MN,55433-3470,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anoka-Ramsey Community College-Cambridge Campus,Cambridge,MN,550085704,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Another Level Barbering and Cosmetology School,Petersburg,VA,23803-3245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anousheh School of Hair,Binghamton,NY,13903-1559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anson College of Cosmetology,Wadesboro,NC,28170-2147,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antelope Valley College,Lancaster,CA,93536-5426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antilles School of Technical Careers,San Juan,PR,909,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antioch College,Yellow Springs,OH,45387,0.8165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antioch College AG,Hampton,VA,23666,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antioch University-Los Angeles,Culver City,CA,90230-7615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antioch University-Midwest,Yellow Springs,OH,45387,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antioch University-New England,Keene,NH,3431,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antioch University-PhD Program in Leadership and Change,Yellow Springs,OH,45387,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antioch University-Santa Barbara,Santa Barbara,CA,93101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antioch University-Seattle,Seattle,WA,98121-1814,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AOMA Graduate School of Integrative Medicine,Austin,TX,78745,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aparicio-Levy Technical College,Tampa,FL,33610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apex Academy Hair Skin Nails School of Cosmetology,Ontario,OH,44906-1793,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apex Technical School,Long Island City,NY,11101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apollo Career Center,Lima,OH,45806-1497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Appalachian Beauty School,Belfry,KY,41514,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Appalachian Bible College,Mount Hope,WV,25880-9557,0.3706,475,605,465,565,440,550,540,515,495,18,23,19,26,16,21,NULL,NULL,21,23,19,NULL,1061,1061
Appalachian College of Pharmacy,Oakwood,VA,24631,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Appalachian School of Law,Grundy,VA,24614,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Appalachian State University,Boone,NC,28608,0.7681,560,640,540,630,500,600,600,585,550,22,28,21,28,21,26,6,8,25,25,24,7,1202,1202
Applied Technology Services,Sunset Hills,MO,63127,0.5333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aquinas College,Grand Rapids,MI,49506-1801,0.693,510,610,490,600,NULL,NULL,560,545,NULL,20,26,20,27,19,27,NULL,NULL,23,24,23,NULL,1115,1115
Aquinas Institute of Theology,Saint Louis,MO,63108-3323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arapahoe Community College,Littleton,CO,80160-9002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arcadia University,Glenside,PA,19038-3295,0.6567,520,640,510,620,480,590,580,565,535,21,28,21,28,19,27,NULL,NULL,25,25,23,NULL,1154,1154
Arclabs,Piedmont,SC,29673-6729,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona Academy of Beauty-East,Tucson,AZ,85712,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona Christian University,Glendale,AZ,85306-3216,0.6793,450,550,440,530,NULL,NULL,500,485,NULL,15,21,14,20,16,20,NULL,NULL,18,17,18,NULL,982,982
Arizona College of Nursing-Las Vegas,Las Vegas,NV,89102-4512,0.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona College of Nursing-Tempe,Tempe,AZ,85282-1840,0.5217,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona College-Dallas,Dallas,TX,75243-1200,0.4138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona College-Glendale,Glendale,AZ,85302-3851,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona College-Mesa,Mesa,AZ,85201,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona Culinary Institute,Scottsdale,AZ,85259,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona School of Acupuncture and Oriental Medicine,Tucson,AZ,85716-1518,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona School of Integrative Studies,Tucson,AZ,85705,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona State University - ASU Colleges at Lake Havasu City,Lake Havasu City,AZ,864036877,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1214
Arizona State University - Cochise,Sierra Vista,AZ,856352317,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1214
Arizona State University - Pima,Tucson,AZ,857090001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1214
Arizona State University - Pinal,Casa Grande,AZ,85122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1214
Arizona State University - Yavapai College Prescott Valley Campus,Prescott Valley,AZ,863142252,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1214
Arizona State University at The Gila Valley,Thatcher,AZ,855525545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1214
Arizona State University at Tucson,Tucson,AZ,857454284,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1214
Arizona State University at Yuma,Yuma,AZ,853656900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1214
Arizona State University Campus Immersion,Tempe,AZ,85287,0.8647,560,670,560,690,NULL,NULL,615,625,NULL,22,28,21,29,22,28,NULL,NULL,25,25,25,NULL,1230,1214
Arizona State University Digital Immersion,Scottsdale,AZ,85257,0.6379,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1214
Arizona State University-Downtown Phoenix,Phoenix,AZ,85004,0.8185,550,640,530,630,NULL,NULL,595,580,NULL,20,26,19,26,18,26,NULL,NULL,23,23,22,NULL,1161,1214
Arizona State University-Polytechnic,Mesa,AZ,85212,0.8371,550,640,570,660,NULL,NULL,595,615,NULL,21,27,19,26,21,27,NULL,NULL,24,23,24,NULL,1199,1214
Arizona State University-West,Glendale,AZ,85306,0.8175,530,640,510,630,NULL,NULL,585,570,NULL,19,25,18,24,18,25,NULL,NULL,22,21,22,NULL,1132,1214
Arizona Western College,Yuma,AZ,85365-8834,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas Baptist College,Little Rock,AR,72202-6068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas Beauty College,Russellville,AR,72801,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas Beauty School-Little Rock,Little Rock,AR,72209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas College of Barbering and Hair Design,North Little Rock,AR,72114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas College of Barbering and Hair Design,Little Rock,AR,722054949,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas Colleges of Health Education,Fort Smith,AR,72916-0366,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas Northeastern College,Blytheville,AR,72316-1109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas State University,Jonesboro,AR,72401,0.7991,510,610,503,610,420,480,560,557,450,21,27,21,29,19,26,NULL,NULL,24,25,23,NULL,1188,1188
Art Academy of Cincinnati,Cincinnati,OH,45202-1706,0.2651,440,560,440,510,400,500,500,475,450,12,24,15,23,16,22,NULL,NULL,18,19,19,NULL,958,958
Asbury University,Wilmore,KY,40390-1198,0.6441,540,670,510,660,NULL,NULL,605,585,NULL,21,28,20,29,19,26,NULL,NULL,25,25,23,NULL,1201,1201
Ashland University,Ashland,OH,44805,0.7117,500,600,500,590,NULL,NULL,550,545,NULL,19,24,18,23,18,25,NULL,NULL,22,21,22,NULL,1104,1104
Assabet Valley Regional Technical School,Marlborough,MA,1752,0.3125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Associated Barber College of San Diego,San Diego,CA,92101-4210,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
