id,saleprice
2658,145116.40635468884
2718,170042.72263244248
2414,203412.09567483104
1989,101884.06991762738
625,167615.99221099273
333,96524.95446726351
1327,102225.25650601782
858,150703.54700242373
95,181824.17656201316
1568,152834.7756933914
2482,171078.99061570264
1364,116116.68857637997
2584,151267.63216700737
818,303044.1327960036
2673,140304.19313807905
2089,105374.2069832882
1297,141887.88395371375
790,121093.73710315215
2616,175673.59473030682
720,206170.23831373316
222,141229.88188687057
557,126870.24454256031
1148,209519.98143961345
2766,160531.3601351368
534,176202.66856300493
1452,106450.95567259885
630,135662.38600327892
2648,131054.20165209954
125,161035.91139940853
1904,55804.7161988516
1670,103030.39280207586
756,102415.25488575954
717,263113.43453165994
1032,158325.3375380042
852,228574.41863920726
1731,199571.32273283994
2639,117316.51119135483
2071,78123.39354802313
1267,110182.41397737546
1851,195077.920054758
567,138513.37945642034
2439,204473.82099464737
1898,149594.17410644534
647,133901.50750847807
2256,224719.37815568066
979,97147.60488797935
1444,220316.87911407257
2485,100841.66135247814
157,128361.02325981627
88,118066.77416309723
2003,101046.29680148567
186,227232.33716578106
1425,261441.00347484942
2695,124145.8115714427
738,92752.4345260694
395,152342.1299417219
1353,176425.57694813903
1878,139632.85497766442
390,161565.07194439758
1456,232616.91557902546
1103,315580.8644427004
1387,136110.8827190144
2070,145177.4395109552
1199,184818.49542034394
2479,172949.2965518569
501,323907.00931613136
2362,87574.6729360049
1718,202037.07146988748
2188,83879.22933467981
1483,136014.1961397101
2557,85686.69906238302
437,352081.6492263556
2224,188959.1525589319
1628,158408.0407172703
397,132589.13572887468
587,201260.54801424625
2182,725904.530124644
971,138320.2474390649
2611,131234.87038184734
1887,81636.58806912122
2399,373056.4649062242
2148,208506.4683401896
304,101596.71540750355
1997,132080.78409700817
2817,148947.36944909114
1431,202669.0224638704
427,355373.10122964793
263,118161.09690468304
598,188006.64426843438
2895,253127.133565358
687,141455.66356522945
1822,133760.9612648767
2191,123038.64822679249
179,113005.49764391992
1009,213792.09398200284
2010,123861.43826909328
1991,134854.63317232567
1411,153487.020528937
1721,257564.93394204782
1144,188865.7469945856
593,219222.04144680125
575,322515.90110954974
1249,162913.86384848595
1604,123186.74746693448
1064,510534.07785471575
1923,148715.57873626758
1988,94504.84361057135
2325,180480.48706177893
114,205071.51549482573
2700,188704.75007023505
217,117256.89169615207
343,169085.9054063399
386,229127.7900291299
2005,107802.44483658578
2908,126320.77685500104
1814,235963.00118489
2446,512905.7696112697
208,143733.4293351383
1679,112226.64243637522
822,360065.6019010617
6,190945.68200434162
1781,430002.44572387886
2397,288146.9872247864
2340,303395.7222882849
1618,177727.34557365326
2843,150062.52735110372
1061,347424.19869477523
2786,114917.69466087307
1935,138592.61068295865
1341,109485.54373256388
521,281738.5015684725
2136,134491.6185047353
996,192224.4898237853
227,149957.7289035576
135,174728.59359836046
1167,189466.1392535074
294,234250.71195948686
1776,197323.60641343525
540,170694.11835964804
1717,202034.93983699795
2303,121019.41488775077
116,172069.34593917016
127,148944.0716879848
1371,137027.3424051068
1014,183306.14364596037
1507,81795.35704231192
702,153489.167704027
750,148241.5193252233
261,146400.47509713532
1559,74790.28135446804
577,244493.47101229194
2812,190779.37530609017
2080,163304.0514930088
1368,92449.06736930695
2376,123245.4322000041
659,98659.16243149756
1235,122001.75119493518
332,81227.93681193679
1917,141885.80567117824
2094,244252.73043259454
1460,263252.6105657456
1471,203329.51318782676
1509,133115.0245169321
1922,127825.46388994221
433,534051.8755644134
460,287550.84283388755
1116,259539.94032512658
1137,172737.85486683427
53,177273.86185814295
2354,261197.88397848353
1475,224439.1217885861
1761,526314.5922685827
842,139675.9375849904
2739,178034.1219159897
2509,144876.0807476897
1007,206902.31836058886
2610,175425.04905125446
1952,93071.3458079155
2719,168031.05569603486
2921,81840.39386765969
1966,149142.52904347592
292,134965.25006080698
1204,209289.64556079032
1829,246895.18613103734
2419,171845.0737970581
391,146962.67367070427
798,113910.36461147649
481,198109.933994777
193,209499.7683901599
555,117095.34925657169
899,50778.22650466512
2357,195938.9308940718
328,122751.15847398879
1356,117228.20989853902
1154,110174.32428227275
1730,168108.6720808873
2249,162439.79972299834
1119,267115.463659696
2856,128279.47780755679
1394,149446.35337016112
2587,112877.81475376265
61,305531.01925741776
2661,189424.60657990066
2711,124340.39382540017
1147,181387.96975045532
757,128815.1216856703
2623,98506.40710035982
2378,159560.87959106133
1413,100794.05668543777
1722,243940.63915154643
1112,226533.92446635017
1623,193484.88108447645
1201,189037.5490987998
1513,133572.33156428044
957,461010.5639439476
1171,285585.7896944896
1145,196306.2512709251
2726,205952.25241355458
703,139710.34681510602
760,97359.7592962927
1964,164487.7638387201
2512,174154.26358804692
159,147055.10730824465
1281,176421.65784265447
468,174964.1621959268
290,121222.36174325265
665,101033.69073092489
1463,262470.82494395936
1792,215559.6248934873
923,139472.2386487815
500,273545.5172655129
1408,152724.65659892687
331,78755.95182640379
170,152941.35366107858
2192,100543.89997830184
2571,339283.41837766726
2314,180070.86400991
2647,78610.79355912565
422,442847.9803299963
2457,343970.67385409324
1838,201029.37410617637
2805,242329.25121242754
1645,166140.74082956876
1711,292274.2812686161
2825,253456.84565423106
322,369116.901732573
2103,270379.0348755255
342,116097.46534963361
600,118455.34505299058
488,179479.91681679944
1725,345746.45263033075
2246,272439.4428727326
2847,155648.16951141125
806,253622.29873113736
530,227610.17797447648
963,184687.03914878657
2678,77865.50376508082
171,78752.27951020339
2401,442051.14486575505
805,228265.679072971
2259,224651.737556815
1748,197156.31125216355
1361,133946.31889718949
1677,113986.10863844982
1406,154246.1869923466
2322,243745.38916162777
688,157976.49597043046
143,132345.67070616077
804,208108.18088543785
1214,153048.02390431793
2828,136367.7933616604
1999,189798.26987116886
2467,179521.4511709548
2665,154463.7777243659
1538,326328.94236096705
398,113995.27430290359
2822,141589.22701334412
2157,131292.29255861387
1856,167703.32486489296
1269,79676.02116801013
2570,109639.20927419688
2320,234047.84792460542
1517,118599.50021331648
2304,108690.78209032539
1312,92113.00803357051
2012,125015.72652480345
506,235483.24781198107
2865,204603.49140117576
2367,105698.79364909294
554,93434.09202787113
238,124419.67132151959
1954,111501.08859573171
2488,105957.80292198306
2291,98145.78162532303
1969,98423.9352902961
2725,161050.03999461583
1482,136014.1961397101
2763,190201.35344143058
503,242239.061513965
1584,250545.62330518148
1531,145895.54124617943
2210,172172.15007945057
459,364355.1720738046
556,113667.0129547313
1347,135359.33128505317
1290,67499.42817228474
1388,104465.46362310994
1571,339475.57377150486
2754,193821.52476987892
765,150072.56341175918
2494,124005.79295824068
2870,218211.03641317255
7,227704.12414927135
1114,250798.30724115306
2418,274923.8867674421
291,146882.9641086345
18,343575.0469505362
39,394901.17178241705
1001,266446.6834056054
2442,240283.32083666936
616,98918.07084722587
2680,37000.76660358255
1414,123884.96328139812
289,160634.481294976
40,253130.19792203087
860,112114.18323968755
409,123014.73967089693
673,136139.3396282267
2427,177674.34145111276
2036,194739.67629073365
2564,146809.16262627972
642,177673.22344727605
1008,189182.11664404173
1908,177212.1713101643
2519,204832.02420773837
1369,81668.96815777388
2855,164676.902535841
712,59928.52554226007
1943,123405.57131234444
1958,135512.11827225366
107,162197.76564089424
2295,197666.73223173895
704,95014.39211037417
676,129982.36704362162
259,193517.55755507172
93,284753.5761761839
106,242454.3996675001
2315,186971.07869159002
1050,100587.47809986444
1095,205478.94628354427
2709,140291.89296716673
758,172890.69348231226
1496,157719.98255423125
2370,118631.69039153494
2458,295626.10301617393
2733,140138.23815039164
161,301939.14101426944
726,159976.3045631416
845,218664.14697876284
947,266847.73362312187
2232,104922.42025136476
2563,143244.35394354913
2299,139818.95226478693
211,95139.27154569942
605,157591.07939387875
1478,205592.12514870396
2247,271125.91324668773
2274,190933.08034348427
2869,195053.36091752604
967,209144.46739876035
2656,130946.51378354288
667,235272.04616191133
1042,102522.6021251069
2023,164593.03926442025
2447,383301.23074631434
2055,122661.16486307145
2275,301228.58394468715
2204,153680.96837976458
1563,268913.17512810504
483,222357.58723299543
796,137115.1584808202
1526,164094.06807712672
2042,172270.19897807512
442,366041.74553398835
1693,300181.6164736146
1468,223788.17772234086
1430,176730.91153458596
2605,184641.8087658598
1529,194401.00066628
335,143138.00996321734
1287,115858.89575034921
31,101157.58706800817
1785,316350.8960901521
82,153669.8106558455
2620,118385.76984029807
252,181953.8268408008
721,51147.25636616702
2165,185671.19357923785
2316,177758.00737063875
775,137709.64425400144
1558,102581.08924637428
